id,predicted_price
188533,16935.285730174455
188534,111097.71449584496
188535,213889.48999088988
188536,14137.243810119598
188537,21954.125205997825
188538,17743.20540462014
188539,15831.700746112398
188540,203380.07985977552
188541,177970.16429201787
188542,29945.602248813353
188543,32896.927714159356
188544,12720.315126172623
188545,285141.9955645546
188546,100046.92596097711
188547,15336.929717098254
188548,210732.6532772276
188549,29477.02705517188
188550,19325.770232604
188551,189987.5279878554
188552,176463.79521056393
188553,186936.0347048892
188554,14922.69073825511
188555,43876.067755961616
188556,19731.3606157818
188557,12395.780481910457
188558,183994.20852217922
188559,44560.53951421108
188560,20376.990212491768
188561,167293.10107740958
188562,11270.934323920312
188563,162345.05868427485
188564,-14730.267644696512
188565,87773.61250033983
188566,22269.941217646625
188567,14661.587803665727
188568,356882.7001064288
188569,24865.335708425435
188570,13487.034057626282
188571,306377.89390557056
188572,113522.02010891052
188573,37672.51275619489
188574,29092.445188881946
188575,34322.391227675995
188576,82787.99277505302
188577,7230.466280802735
188578,42806.6640028718
188579,45392.430568563
188580,29389.9213092641
188581,100769.59968801535
188582,25265.484385243784
188583,60658.66219037346
188584,26014.538583719237
188585,56614.735436944626
188586,18575.660170546922
188587,83460.00456463962
188588,22751.011378545034
188589,13408.956963735007
188590,59451.263903629035
188591,42502.46933757649
188592,27100.48937658267
188593,26396.71278351179
188594,167613.3724662743
188595,21604.866614699444
188596,57629.94385375352
188597,21771.2149312955
188598,12363.811102981806
188599,17424.92381363172
188600,76677.48215557329
188601,78329.32512993168
188602,19785.606440538293
188603,136400.280413966
188604,14357.973164626186
188605,101452.00384476448
188606,21810.360532597395
188607,64691.85803541278
188608,52066.203923870635
188609,45409.94164285016
188610,34110.903095075395
188611,15695.447221110095
188612,93415.71169537806
188613,12605.781258870233
188614,22012.804563733996
188615,14663.14023345042
188616,190191.15050634413
188617,400640.7460908395
188618,11448.544041623529
188619,135328.69544424786
188620,9834.754696738659
188621,26430.199899143718
188622,97955.43824625787
188623,74035.42711075928
188624,42893.535809677094
188625,216587.34074681802
188626,7587.750931443166
188627,154471.9871469958
188628,211198.40761842055
188629,19224.46688109866
188630,30460.789334542394
188631,72551.78739272381
188632,52249.49656600662
188633,150666.2128324022
188634,12824.800007335507
188635,-11358.146489268955
188636,62474.08885896565
188637,11539.384750612546
188638,48115.6457459923
188639,19813.32597470808
188640,23554.647679028883
188641,20488.31056712611
188642,9569.685391894673
188643,115418.05310716938
188644,147754.94802351802
188645,50758.406516562216
188646,11348.384885030351
188647,27084.295141708837
188648,17146.20768448294
188649,492460.2863486886
188650,209036.0139891068
188651,303125.10360620165
188652,33978.858173712404
188653,204266.25424993323
188654,14110.604271964206
188655,48543.5576375452
188656,41382.38065209518
188657,20884.44490144819
188658,12384.665878885287
188659,120617.81571167844
188660,23775.75345147814
188661,132041.1590408343
188662,9402.840999540407
188663,49554.21878988568
188664,84952.19184259759
188665,322956.42973855964
188666,40094.18202278089
188667,7696.995834756592
188668,11622.102656685307
188669,97574.4522220409
188670,87260.1123571525
188671,47904.89401724506
188672,51372.820095788964
188673,176504.59922866576
188674,31367.490870034344
188675,77389.79963828417
188676,60257.91727366574
188677,9038.158975582322
188678,40885.22015718941
188679,21819.907205153348
188680,323531.8533674779
188681,12189.28449080426
188682,12326.644305738973
188683,13731.609896471207
188684,65314.10418640182
188685,154295.44433149858
188686,34465.85940794779
188687,10843.848603832499
188688,47075.537819944344
188689,13764.166119385154
188690,38630.35057086103
188691,316208.55647352146
188692,48495.771461981996
188693,19694.287239105124
188694,17670.180070894654
188695,35073.11718310363
188696,92798.10263183329
188697,32741.436782076747
188698,24399.7542907668
188699,84183.82806900638
188700,55841.88231198081
188701,39393.78397976088
188702,25016.911144989193
188703,25584.95915822445
188704,60288.26926675956
188705,8040.4297494606
188706,92717.90577833272
188707,15052.219703201456
188708,16848.685831408053
188709,17633.85444013664
188710,17424.357182276697
188711,18548.6473558671
188712,136304.7373268131
188713,31486.988185309798
188714,25206.047141099672
188715,30879.81535356395
188716,107321.58150026952
188717,13656.383657977734
188718,22059.785473780514
188719,45062.46821779439
188720,10321.766643749761
188721,13976.512685754707
188722,55333.31319973497
188723,19135.673389457006
188724,14388.36284898008
188725,19420.994574396245
188726,72840.38007658179
188727,8386.502960135367
188728,55504.373321675346
188729,77779.250124173
188730,124757.42292814198
188731,54229.89246717581
188732,54669.07895405153
188733,22036.050025142365
